                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2997,                 3.0162,                 1.5633,                0.29106,                0.20818,                0.12867,                0.06498,                  1.867,                 2.6906,                 1.3398,             0.00027243,             0.00027243,             0.00027243
                      2,                 1.8679,                 2.0552,                 1.3419,                0.31674,                0.24636,                0.16194,                0.08261,                 1.8485,                  2.077,                 1.3222,             0.00054404,             0.00054404,             0.00054404
                      3,                 1.7653,                 1.9318,                  1.308,                0.22228,                0.25084,                0.16653,                0.08926,                 1.8273,                 1.9629,                 1.3274,             0.00080955,             0.00080955,             0.00080955
                      4,                 1.7506,                 1.9106,                 1.2926,                0.22971,                 0.2651,                0.19297,                0.10582,                 1.7752,                 1.8969,                 1.3104,             0.00080551,             0.00080551,             0.00080551
                      5,                 1.7166,                 1.8802,                 1.2674,                0.25202,                0.26759,                0.21139,                  0.118,                 1.6982,                 1.8472,                 1.2874,             0.00080551,             0.00080551,             0.00080551
                      6,                  1.681,                 1.8392,                 1.2697,                0.41874,                0.22825,                0.19934,                0.11126,                 1.7103,                 1.8604,                 1.2806,             0.00079635,             0.00079635,             0.00079635
                      7,                 1.6201,                 1.8037,                 1.2412,                0.38527,                0.28108,                0.22214,                0.12717,                 1.6515,                 1.8002,                 1.2504,             0.00078718,             0.00078718,             0.00078718
                      8,                 1.6444,                 1.8015,                 1.2445,                0.40138,                0.28129,                0.23031,                   0.13,                 1.6847,                 1.7803,                 1.2541,             0.00077802,             0.00077802,             0.00077802
                      9,                 1.6334,                 1.7779,                 1.2296,                0.45114,                0.26959,                0.25001,                0.14763,                 1.5847,                 1.7418,                 1.2226,             0.00076886,             0.00076886,             0.00076886
                     10,                 1.5765,                 1.7524,                 1.2228,                0.43202,                0.26585,                0.23105,                0.13479,                 1.5975,                   1.77,                 1.2488,              0.0007597,              0.0007597,              0.0007597
                     11,                 1.5663,                 1.7251,                 1.2101,                0.42147,                0.28401,                 0.2384,                0.14158,                 1.5786,                 1.7455,                 1.2342,             0.00075053,             0.00075053,             0.00075053
                     12,                 1.5484,                 1.7165,                 1.2035,                0.44656,                0.28166,                0.24813,                0.14775,                 1.5428,                 1.6835,                 1.2025,             0.00074137,             0.00074137,             0.00074137
                     13,                 1.5644,                 1.7128,                 1.2054,                0.41082,                 0.2919,                0.23957,                0.13698,                 1.6107,                  1.739,                 1.2456,             0.00073221,             0.00073221,             0.00073221
                     14,                 1.5296,                 1.6673,                 1.1935,                0.46456,                0.31137,                0.26403,                0.15694,                 1.5304,                 1.6883,                 1.2108,             0.00072304,             0.00072304,             0.00072304
                     15,                 1.5072,                 1.6657,                 1.1853,                 0.4275,                 0.3083,                0.25642,                0.15014,                 1.5482,                 1.6891,                 1.2082,             0.00071388,             0.00071388,             0.00071388
                     16,                 1.4946,                 1.6525,                 1.1833,                0.45733,                 0.3021,                 0.2606,                0.15363,                 1.5404,                 1.6899,                 1.2123,             0.00070472,             0.00070472,             0.00070472
                     17,                 1.4966,                 1.6615,                 1.1848,                0.45435,                0.29246,                0.26257,                0.16081,                 1.5101,                 1.6593,                  1.192,             0.00069556,             0.00069556,             0.00069556
                     18,                  1.512,                 1.6654,                 1.1823,                0.47776,                0.30507,                0.27441,                 0.1679,                  1.513,                 1.6694,                 1.1999,             0.00068639,             0.00068639,             0.00068639
                     19,                 1.4762,                 1.6421,                 1.1768,                0.46129,                0.28044,                0.26395,                0.15886,                  1.533,                 1.6618,                 1.2053,             0.00067723,             0.00067723,             0.00067723
                     20,                 1.4716,                 1.6063,                 1.1642,                0.47044,                0.31916,                0.28002,                0.17213,                 1.4992,                   1.65,                 1.1958,             0.00066807,             0.00066807,             0.00066807
                     21,                 1.4418,                 1.6156,                 1.1662,                0.43894,                0.30714,                 0.2537,                0.15113,                 1.5349,                 1.6914,                 1.2023,              0.0006589,              0.0006589,              0.0006589
                     22,                 1.4556,                 1.6078,                 1.1679,                0.45399,                0.32239,                0.28179,                0.17168,                 1.5152,                 1.6514,                 1.1911,             0.00064974,             0.00064974,             0.00064974
                     23,                 1.4466,                 1.5845,                 1.1621,                0.46039,                0.31898,                0.28601,                0.17668,                 1.4959,                 1.6286,                 1.1901,             0.00064058,             0.00064058,             0.00064058
                     24,                 1.4234,                 1.5725,                  1.153,                 0.4627,                0.32824,                 0.2888,                0.17818,                 1.4931,                 1.6064,                  1.187,             0.00063141,             0.00063141,             0.00063141
                     25,                 1.4388,                 1.5644,                 1.1581,                0.48984,                0.30889,                0.27607,                0.16928,                   1.47,                 1.6417,                 1.1879,             0.00062225,             0.00062225,             0.00062225
                     26,                 1.4288,                 1.5704,                 1.1553,                0.48192,                0.31456,                 0.2883,                0.17389,                 1.4989,                 1.6023,                 1.1761,             0.00061309,             0.00061309,             0.00061309
                     27,                 1.4371,                 1.5663,                 1.1463,                0.47394,                  0.329,                0.29279,                0.18848,                 1.4453,                 1.5886,                 1.1797,             0.00060392,             0.00060392,             0.00060392
                     28,                 1.4043,                 1.5445,                  1.148,                0.49076,                0.33166,                0.30134,                0.18634,                 1.4572,                 1.5952,                 1.1731,             0.00059476,             0.00059476,             0.00059476
                     29,                 1.4184,                 1.5313,                  1.145,                0.48501,                0.32367,                0.28426,                0.17516,                 1.4681,                 1.6274,                 1.1796,              0.0005856,              0.0005856,              0.0005856
                     30,                 1.4008,                 1.5322,                 1.1497,                0.49512,                0.31211,                0.29497,                0.18227,                 1.4659,                  1.591,                 1.1689,             0.00057644,             0.00057644,             0.00057644
                     31,                 1.4075,                  1.527,                 1.1466,                0.48123,                0.30748,                0.29541,                0.18126,                 1.4507,                 1.5782,                 1.1678,             0.00056727,             0.00056727,             0.00056727
                     32,                 1.4025,                  1.505,                 1.1377,                  0.478,                0.31857,                 0.2986,                0.18461,                 1.4643,                 1.5673,                 1.1676,             0.00055811,             0.00055811,             0.00055811
                     33,                 1.3771,                  1.493,                 1.1318,                0.36526,                0.33723,                0.30648,                0.19156,                 1.4363,                 1.5574,                  1.163,             0.00054895,             0.00054895,             0.00054895
                     34,                  1.369,                  1.486,                 1.1256,                0.48086,                0.32813,                0.29595,                0.18814,                 1.4393,                 1.5833,                 1.1555,             0.00053978,             0.00053978,             0.00053978
                     35,                 1.3633,                 1.4844,                 1.1284,                0.37414,                0.31916,                0.29947,                0.18906,                 1.4491,                 1.5625,                 1.1598,             0.00053062,             0.00053062,             0.00053062
                     36,                 1.3588,                 1.4799,                 1.1232,                0.47894,                0.33885,                0.30735,                0.19539,                  1.419,                  1.566,                  1.155,             0.00052146,             0.00052146,             0.00052146
                     37,                 1.3566,                 1.4728,                 1.1264,                0.47197,                0.34195,                 0.3153,                0.19237,                  1.446,                 1.5662,                 1.1579,              0.0005123,              0.0005123,              0.0005123
                     38,                  1.365,                  1.458,                 1.1208,                0.48967,                 0.3274,                0.29669,                0.18523,                 1.4446,                 1.5707,                 1.1644,             0.00050313,             0.00050313,             0.00050313
                     39,                  1.355,                 1.4586,                 1.1198,                0.49556,                0.32951,                0.31226,                0.19772,                 1.4328,                 1.5686,                 1.1634,             0.00049397,             0.00049397,             0.00049397
                     40,                 1.3714,                 1.4468,                 1.1223,                0.48471,                0.33585,                0.30737,                0.19332,                 1.4205,                 1.5593,                 1.1516,             0.00048481,             0.00048481,             0.00048481
